female,age,race,obs,wage,emp,grad,length,first,wage_sd,emp_sd,grad_sd,length_sd,first_sd,coll,prog
0,0,0,222,57423.824,33.322144,23.012846,11.089191,12.814329,10651.318,10.22664,6.7293377,1.87218,2.7406111,College 1,Automotive Tech
0,1,0,377,58099.305,30.038754,22.201624,11.471328,13.64417,10200.791,10.51444,6.6422644,1.9626135,2.9262617,College 1,Automotive Tech
1,0,0,195,57382.09,30.764614,22.479105,11.616304,13.340923,10282.378,9.7337303,7.002038,2.0291743,3.1332436,College 1,Automotive Tech
1,1,0,375,59008.789,29.469122,21.190586,11.92614,13.941433,11377.491,9.8929462,6.9977016,1.9629455,2.9861038,College 1,Automotive Tech
0,0,1,84,55004.672,35.415657,25.272198,10.350949,12.711858,9799.542,10.082219,6.3237653,2.0660324,3.1652682,College 1,Automotive Tech
0,1,1,183,56834.883,32.139427,24.626127,10.785069,12.789572,10692.608,9.2332611,7.3294053,2.0783107,3.2483644,College 1,Automotive Tech
1,0,1,90,56447.422,34.325272,23.277918,11.090335,12.594024,11001.7,11.27144,5.992435,2.0155036,2.7353995,College 1,Automotive Tech
1,1,1,192,57637.973,30.18416,22.858522,11.666578,13.363684,10472.598,9.6656027,7.2313409,2.0134082,3.0887222,College 1,Automotive Tech
0,0,2,45,54438.426,37.85442,26.574337,10.375487,11.514161,9496.4629,9.6625738,5.7756872,1.8052601,2.8008921,College 1,Automotive Tech
0,1,2,73,55130.039,34.605427,25.86904,10.47441,12.678622,10634.893,10.614439,6.579484,1.8526561,3.0793753,College 1,Automotive Tech
1,0,2,37,56192.039,35.279202,27.645445,10.625269,11.816352,11005.146,9.240407,6.2762666,2.0007808,3.1150234,College 1,Automotive Tech
1,1,2,99,59067.527,34.993889,23.080841,10.658955,12.745353,9867.9756,10.102251,6.3685465,2.0743637,3.1766708,College 1,Automotive Tech
0,0,3,47,52996.957,38.95166,29.624619,10.123356,10.981781,10788.539,7.5184317,6.2558117,1.9475365,2.9109318,College 1,Automotive Tech
0,1,3,75,55649.082,38.189007,27.417288,9.75317,11.890452,9528.3809,11.064834,6.1304245,2.1068685,2.9622645,College 1,Automotive Tech
1,0,3,44,56055.969,38.244495,27.355801,10.016945,12.566492,9542.9854,7.9236693,5.9936495,1.8462516,2.8188531,College 1,Automotive Tech
1,1,3,85,58506.504,35.560902,25.607466,10.302479,12.894529,11818.464,9.1711941,7.129818,2.0243015,3.1236584,College 1,Automotive Tech
0,0,4,25,53732.094,49.288723,30.17358,9.164422,10.759624,7826.978,9.4235039,5.0935616,2.0594237,2.7494602,College 1,Automotive Tech
0,1,4,40,54700.148,43.820972,28.102324,8.6772032,10.963184,11251.351,9.5539293,5.8512468,1.9792411,2.813663,College 1,Automotive Tech
1,0,4,26,58098.629,40.635166,26.754618,9.0066271,12.322473,10222.237,11.342811,6.3820395,1.9361579,3.0719383,College 1,Automotive Tech
1,1,4,34,57253.32,37.995571,27.434261,10.460609,12.229103,12003.692,7.2925119,6.6130867,1.9047226,2.4847419,College 1,Automotive Tech
0,0,0,451,56387.773,32.967861,23.632082,10.83212,13.080878,10478.925,10.419441,7.1151376,2.0091887,2.9050212,College 1,Business
