female,age,race,obs,wage,emp,grad,length,first,wage_sd,emp_sd,grad_sd,length_sd,first_sd,coll,prog
0,0,0,49,58252.539,51.439999,40.049999,9.3000002,11.64,8484.2822,21.948658,18.0264,5.3674769,8.7251339,College 1,Automotive Tech
0,1,0,73,55410.148,47.23,33.830002,8.4499998,10.38,9674.6904,18.026407,11.34917,4.7829385,8.4296026,College 1,Automotive Tech
1,0,0,42,62819.73,48.080002,38.389999,7.8899999,11.25,12371.604,20.937325,19.064186,5.0476122,8.6467886,College 1,Automotive Tech
1,1,0,76,57030.809,45.43,34.66,8.5900002,9.8599997,11656.578,22.079773,13.116945,4.9593186,8.5241718,College 1,Automotive Tech
0,0,1,26,57721.629,55.880001,36.450001,8.4799995,10.41,9247.4102,26.666355,14.610353,5.7283068,7.8673601,College 1,Automotive Tech
0,1,1,42,54514.77,49.169998,35.209999,8.0299997,10.17,10269.861,18.31085,11.72243,4.1329117,7.8623228,College 1,Automotive Tech
1,0,1,25,59817.75,57.540001,29.09,10.28,10.79,10432.059,24.977512,13.386139,5.2933755,8.3025723,College 1,Automotive Tech
1,1,1,37,59370.949,46.639999,34.619999,7.1999998,9.71,9733.8389,17.325481,12.847923,4.830061,8.2182207,College 1,Automotive Tech
0,0,2,25,58894.691,50.27,25.860001,7.8400002,8.4099998,9619.1943,15.219604,9.3515358,5.6673188,8.5945244,College 1,Automotive Tech
0,1,2,25,51026.699,50.599998,32.919998,8.1599998,11.21,9954.2305,15.241835,9.9179935,2.9075615,7.0805969,College 1,Automotive Tech
1,0,2,25,53706.27,49.669998,44.529999,8.1300001,12.16,8729.5176,31.373596,15.381635,6.2956619,8.7431641,College 1,Automotive Tech
1,1,2,25,53133.441,50.450001,37.509998,8.8299999,8.1499996,12323.894,13.901712,11.352531,4.5566688,7.5263414,College 1,Automotive Tech
0,0,3,25,56241.98,49.25,35.490002,6.6599998,8.3699999,11948.641,20.316137,12.163014,3.6000338,8.6076059,College 1,Automotive Tech
0,1,3,25,49359.191,48.580002,36.240002,7.48,7.1999998,10148.674,11.642965,9.5602598,3.7626517,6.4971333,College 1,Automotive Tech
1,0,3,25,56054.57,53.970001,33.66,6.4400001,10.76,11237.137,22.516554,14.950955,5.529851,7.9540076,College 1,Automotive Tech
1,1,3,25,54765.141,52.470001,35.48,8.2799997,10.08,7930.5938,12.814683,10.435063,3.9525411,6.6696014,College 1,Automotive Tech
0,0,4,25,51597.75,56.66,44.889999,9.29,3.5699999,8109.7417,13.488897,3.8937058,2.1942694,2.4331834,College 1,Automotive Tech
0,1,4,25,44943.48,54.66,34.200001,8.6899996,15.64,7475.3008,7.8690972,7.17942,1.78389,4.6266022,College 1,Automotive Tech
1,0,4,25,58754.41,51.540001,32.669998,3.74,7.73,8777.084,16.672899,12.070511,2.9022605,8.021636,College 1,Automotive Tech
1,1,4,25,53641.898,50.880001,35.380001,5.79,8.9200001,10514.383,18.308216,4.577517,3.1852334,7.084733,College 1,Automotive Tech
0,0,0,108,58140.359,49.009998,35.310001,9.3900003,10.94,11258.206,22.743654,16.015326,5.2507663,8.5647535,College 1,Business
0,1,0,151,57325.449,51.919998,34.459999,8.4399996,10.34,10957.033,20.886873,12.654259,4.8585773,7.9528356,College 1,Business
1,0,0,83,57832.711,51.27,34.619999,7.8200002,10.94,11522.829,27.6411,17.817667,4.9113989,8.4784117,College 1,Business
1,1,0,147,59025.719,51.220001,37.540001,8.5299997,10.41,11048.863,21.474497,14.924868,5.0766239,8.2417564,College 1,Business
0,0,1,46,59503.07,47.470001,35.869999,7.4099998,10.82,11112.201,20.974762,13.437625,4.7093711,8.0361328,College 1,Business
0,1,1,57,55853.012,45.330002,33.310001,8.6899996,10.82,10299.649,17.090403,10.672107,4.8229671,7.6280198,College 1,Business
1,0,1,44,58942.129,47.200001,35.130001,8.4499998,9.1999998,9665.2334,23.725779,16.899677,5.30547,8.5244646,College 1,Business
1,1,1,68,56580.18,51.240002,33.91,7.79,11.85,11627.644,21.021597,11.442734,4.6972799,8.3868952,College 1,Business
0,0,2,25,58194.961,49.950001,32.990002,10.34,8.1199999,8452.0205,20.264948,14.239696,5.029995,8.5315275,College 1,Business
0,1,2,25,52832.371,53.029999,36.470001,6.7800002,10.27,9359.0869,15.803171,9.4827347,3.5377061,7.4268227,College 1,Business
1,0,2,25,58778.422,47.959999,38.619999,7.9699998,10.13,8637.4502,22.621159,16.824425,4.6226954,8.4155941,College 1,Business
1,1,2,25,56674.23,51.330002,35.529999,7.2600002,10.48,9827.9648,16.681782,9.5921822,4.3338346,7.7285872,College 1,Business
0,0,3,25,55169.301,49.32,38.049999,9.4700003,12.64,6736.1587,10.913563,13.649901,4.766459,8.4760599,College 1,Business
0,1,3,28,52875.551,47.619999,35.540001,7.48,12.74,11044.317,13.703244,6.4464931,3.6750066,5.7908568,College 1,Business
1,0,3,26,59351.98,46.59,32.73,8.8900003,10.5,9441.7646,20.025698,10.88061,4.5167117,8.1264009,College 1,Business
1,1,3,27,54417.988,46.130001,37.639999,8.4200001,10.74,10237.067,15.797599,10.936522,3.4829366,6.912991,College 1,Business
0,0,4,25,55047.961,55.849998,38.080002,7.1999998,9.6999998,9277.0439,20.006952,10.864204,3.0142713,9.5334759,College 1,Business
0,1,4,25,56510.281,46.169998,33.82,8.6899996,10.6,9220.6924,13.948408,7.5680985,3.4997678,7.0148306,College 1,Business
