college,curr_text,last2years,last3to5years,count,totalcases,date,serving,deglvl,group,empstatus
Blue Ridge,Health Sciences,0,1,13,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CERT,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Health Information Technology,0,1,11,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Blue Ridge,Health Sciences,0,1,19,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CERT,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Blue Ridge,Veterinary Technology,1,0,17,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"No Recent Employment, Never in Health"
Blue Ridge,Health Sciences,0,1,13,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CERT,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Nursing,0,1,21,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"No Recent Employment, Never in Health"
Blue Ridge,Human Services,0,1,11,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"No Recent Employment, Never in Health"
Blue Ridge,Health Sciences,1,0,29,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CERT,Recent Graduate,"No Recent Employment, Never in Health"
Blue Ridge,Veterinary Technology,0,1,24,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Health Sciences,0,1,14,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CERT,Recent Graduate,"No Recent Employment, Never in Health"
Blue Ridge,Nursing,0,1,49,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Nursing,1,0,15,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Blue Ridge,Veterinary Technology,1,0,15,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Health Information Technology,1,0,18,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Blue Ridge,Health Sciences,1,0,17,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CERT,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Nursing,1,0,11,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Veterinary Technology,0,1,14,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Blue Ridge,Health Information Technology,0,1,17,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Human Services,1,0,11,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Blue Ridge,Nursing,1,0,11,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Blue Ridge,Health Sciences,0,1,12,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CERT,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Nursing,1,0,15,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Blue Ridge,Human Services,0,1,36,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Blue Ridge,Health Information Technology,0,1,12,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Blue Ridge,Veterinary Technology,0,1,11,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"No Recent Employment, Never in Health"
Blue Ridge,Health Sciences,1,0,14,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CERT,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Blue Ridge,Health Information Technology,1,0,31,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Veterinary Technology,0,1,12,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Nursing,0,1,13,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Human Services,1,0,15,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Human Services,0,1,17,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Veterinary Technology,1,0,21,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Human Services,1,0,11,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"No Recent Employment, Never in Health"
Blue Ridge,Veterinary Technology,0,1,14,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Blue Ridge,Nursing,1,0,11,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Human Services,0,1,12,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Blue Ridge,Veterinary Technology,1,0,14,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,CSC,Recent Graduate,"Recent Employment, Not in Health"
Blue Ridge,Nursing,0,1,11,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Blue Ridge,Human Services,0,1,12,55,4/6/2020,Augusta; Harrisonburg; Highland; Rockingham; Staunton; Waynesboro,AAS,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Nursing,1,0,11,25,4/6/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Nursing,1,0,16,25,4/6/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
