female,age,race,obs,wage,emp,grad,length,first,wage_sd,emp_sd,grad_sd,length_sd,first_sd,coll,prog
0,0,0,77,53013.719,56.299999,39.59,10.65,12.32,20258.84,10.963858,5.1410069,2.5064697,4.754755,College 1,Automotive Tech
0,1,0,125,60539.648,72.860001,47.790001,14.66,14.76,18739.219,14.899698,10.510102,2.3487787,6.7796125,College 1,Automotive Tech
1,0,0,74,60543.73,68.290001,45.080002,13.62,14.65,22545.584,12.73945,7.7410893,2.7174406,6.298717,College 1,Automotive Tech
1,1,0,146,69440.797,80.050003,55.970001,15.05,14.66,22805.545,15.124846,13.058208,2.2953811,7.0306678,College 1,Automotive Tech
0,0,1,56,56094.879,58.700001,40.869999,11.51,14.28,16379.746,12.286245,4.8878951,2.925833,5.6423626,College 1,Automotive Tech
0,1,1,103,61317.629,73.589996,48.02,14.91,15.21,20499.721,14.512387,10.577071,2.0350583,6.5502439,College 1,Automotive Tech
1,0,1,48,66651.133,69.379997,46.630001,13.7,13.72,18839.961,14.991811,9.9691734,2.602344,7.1141176,College 1,Automotive Tech
1,1,1,67,70202.758,81,53.98,15.34,14.18,19573.449,13.948546,13.503335,2.2228243,7.3090525,College 1,Automotive Tech
0,0,2,25,58461.309,67.580002,44.040001,12.53,15.66,23496.518,14.276618,7.7683401,2.0583086,5.9899411,College 1,Automotive Tech
0,1,2,39,63269.66,74.220001,48.290001,15,15.52,16076.747,16.237078,12.821097,2.234499,6.701303,College 1,Automotive Tech
1,0,2,25,65213.148,70.400002,49.02,15.26,14.01,16898.289,13.422593,8.2315874,1.1161687,5.9467492,College 1,Automotive Tech
1,1,2,29,69530.727,75.349998,52.689999,14.92,13.81,18608.574,20.411808,14.197321,2.6895351,8.1502628,College 1,Automotive Tech
0,0,3,25,51897.379,73.050003,49.389999,14.26,14.17,15984.104,11.830329,8.4719973,2.5086751,6.9732099,College 1,Automotive Tech
0,1,3,33,68483.203,72.25,50.209999,14.43,14.76,20320.609,18.31333,11.42016,2.6702814,6.8888726,College 1,Automotive Tech
1,0,3,25,63416.059,75.010002,46.740002,14.48,13.94,18669.322,16.5131,8.9272947,2.1822255,7.5543723,College 1,Automotive Tech
1,1,3,30,75753.117,74.080002,53.919998,15.71,13.41,16614.029,17.476709,14.260897,.86223322,7.8581805,College 1,Automotive Tech
0,0,4,25,62377,75.949997,47.09,15.8,15.86,18132.064,17.285162,10.045046,.38542521,6.5349851,College 1,Automotive Tech
0,1,4,25,72745.953,71.040001,56.299999,15.27,17.48,24365.701,24.496023,11.236463,1.3574778,5.6270084,College 1,Automotive Tech
1,0,4,25,60627.609,68.459999,51.16,15.99,16.870001,16747.611,11.964422,10.514202,.03360486,5.3876781,College 1,Automotive Tech
1,1,4,25,75932.133,82.620003,51.689999,15.3,13.7,22254.156,20.763191,12.534191,1.7126764,8.4620886,College 1,Automotive Tech
0,0,0,148,58195.012,67.559998,44.970001,14.11,13.84,23266.408,13.775592,8.9228191,2.4673283,6.7742853,College 1,Business
0,1,0,325,69703.18,79.419998,53.720001,15.26,14.6,19002.123,16.186806,13.105121,1.9287373,7.3926511,College 1,Business
1,0,0,177,65046.102,77.099998,51.810001,14.9,14.12,18181.568,15.76277,12.522429,2.3142624,7.388289,College 1,Business
1,1,0,297,74137.383,81.790001,58.580002,15.28,14.91,20361.148,18.359976,15.066445,2.2002077,7.4288883,College 1,Business
